Layout,Avg X,Std Dev X,Avg Y,Std Dev Y,Avg Z,Std Dev Z,Avg WPM,Std Dev WPM,Avg aWPM,Std Dev aWPM,Avg Travel,Std Dev Travel,Avg PIT,Std Dev PIT
SliderOnly,0.2594461910212766,0.10523708894353741,4.145420008510638,0.05753106418755976,0.07616481942553191,0.2918480221220723,1.2658612965490232,1.2102358160962052,0.49464283578972823,0.6156082567541354,,,,
ArcType,-0.48191643529255324,0.17968660471038425,4.012377539893618,0.20437572806734394,0.9637430784574468,0.17134507339346608,2.082607131820611,0.6868246862022587,1.601111284908394,0.7725943523935802,7928.767331227012,5238.69664714715,746.8411795249388,527.4281428779923
TiltType,-0.1271067841373494,0.08239062102037273,2.421332726907631,0.054661532344994976,-0.39778137776184735,0.2557889254851539,4.567907829019098,1.0293185675939676,4.739198427311028,0.5065647146641565,14240.01071196002,3401.2474658118686,2034.4737002061265,531.5930890664745
Raycast,-0.21398115351063832,0.32986542593336804,4.7049101580547115,0.17456805123900923,1.0708069158054712,0.10018570771056033,7.3815357915066135,1.7970812308819955,6.478419424785898,2.273473343105822,,,,
